pid,dim,adcon,tv,rating,age,agecat,dprime
6712040,games,addressable,random,-4.75,24,18_34,0.967421566
6712159,car,non-address,choice,0,27,18_34,0
6712159,cruise,non-address,choice,5.25,27,18_34,0
6712159,dog,addressable,choice,7,27,18_34,1.00376302
6712159,games,addressable,choice,0,27,18_34,0
6712369,car,addressable,choice,4.5,21,18_34,0.307239651
6712369,cruise,non-address,choice,2,21,18_34,-0.377965768
6712369,dog,non-address,choice,3.25,21,18_34,1.593218818
6712369,games,addressable,choice,6.25,21,18_34,0.282216147
6712474,car,addressable,choice,7.75,42,35.54,1.249637713
6712474,cruise,addressable,choice,5.25,42,35.54,0.871671945
6712474,dog,non-address,choice,-1,42,35.54,0.307239651
6712474,games,non-address,choice,6,42,35.54,2.182674616
6712498,car,non-address,choice,1,36,35.54,1.875434965
6712498,cruise,non-address,choice,3.25,36,35.54,0.564432294
6712498,dog,addressable,choice,1.5,36,35.54,0.589455798
6712498,games,addressable,choice,-0.5,36,35.54,1.875434965
6712500,car,addressable,random,-5.75,52,35.54,1.00376302
6712500,cruise,non-address,random,5,52,35.54,1.178911596
6712500,dog,addressable,random,8.75,52,35.54,1.875434965
6712500,games,non-address,random,-6.25,52,35.54,1.249637713
6712543,car,addressable,choice,2,43,35.54,0.871671945
6712543,cruise,addressable,choice,4.25,43,35.54,1.178911596
6712543,dog,non-address,choice,-2.75,43,35.54,1.178911596
6712543,games,non-address,choice,-7,43,35.54,1.178911596
6712581,car,non-address,choice,-0.25,23,18_34,-0.307239651
6712581,cruise,non-address,choice,-0.75,23,18_34,0.564432294
6712581,dog,addressable,choice,0.25,23,18_34,0.564432294
6712581,games,addressable,choice,0.75,23,18_34,0.377965768
6712667,car,non-address,choice,-0.25,49,35.54,1.249637713
6712667,cruise,addressable,choice,0.75,49,35.54,0.871671945
6712667,dog,non-address,choice,8,49,35.54,1.249637713
6712667,games,addressable,choice,-0.25,49,35.54,0.967421566
6712675,car,non-address,random,-1.5,20,18_34,0
6712675,cruise,non-address,random,-0.75,20,18_34,-1.00376302
6712675,dog,addressable,random,1.5,20,18_34,0
6712675,games,addressable,random,-2.5,20,18_34,0
6712733,car,non-address,choice,1.5,29,18_34,1.556877364
6712733,cruise,addressable,choice,0.25,29,18_34,0.589455798
6712733,dog,addressable,choice,-2.75,29,18_34,-0.377965768
6712733,games,non-address,choice,-1.75,29,18_34,1.311002671
6712786,car,addressable,choice,4.75,20,18_34,-0.589455798
6712786,cruise,non-address,choice,3.25,20,18_34,-0.282216147
6712786,dog,addressable,choice,5,20,18_34,1.593218818
6712786,games,non-address,choice,2,20,18_34,1.00376302
